id,variant,predicted_class,predicted_label,confidence,regression_prediction,main_modality,text_contribution,audio_contribution,vision_contribution,text_evidence,audio_evidence,vision_evidence
01,aligned,1,Neutral,0.4764288067817688,-0.006493832916021347,text,0.9709935721650615,0.029006427834938463,0.0,replacing | timing | components | when | [CLS],0.22-0.24s | 0.24-0.26s | 0.34-0.36s | 0.00-0.02s | 0.16-0.18s,0-0 | 1-1 | 2-2 | 1-1 | 1-1
02,aligned,0,Negative,0.5637028217315674,-0.35564616322517395,text,0.9930041016014494,0.00018119833697911574,0.006814700061571503,other | other | live | want | live,0.34-0.36s | 0.08-0.10s | 0.36-0.38s | 0.18-0.20s | 0.20-0.22s,2-2 | 2-2 | 1-1 | 1-1 | 0-0
03,aligned,0,Negative,0.418159157037735,-0.1991495043039322,text,0.9846320570958825,0.0017039171331037209,0.013664025771013708,who | rental | just | which | think,0.48-0.50s | 0.40-0.42s | 0.34-0.36s | 0.28-0.30s | 0.62-0.64s,2-2 | 1-2 | 3-3 | 2-2 | 2-2
04,aligned,0,Negative,0.7815203666687012,-1.0964056253433228,text,0.9998974191415881,0.0,0.00010258085841182036,chances | my | kiss | team | exercise,0.24-0.26s | 0.46-0.48s | 0.42-0.44s | 0.50-0.52s | 0.30-0.32s,1-1 | 2-2 | 2-2 | 2-2 | 2-3
05,aligned,2,Positive,0.6695214509963989,0.5637136101722717,vision,0.26501361124096023,0.10241656813411426,0.6325698206249255,"hi | name | name | , | my",0.12-0.14s | 0.08-0.10s | 0.16-0.18s | 0.26-0.28s | 0.24-0.26s,0-0 | 1-1 | 1-1 | 1-1 | 1-1
06,aligned,2,Positive,0.804142415523529,0.6828761100769043,text,0.9254347359778693,0.07456526402213066,0.0,re | sense | of | impressive | then,0.18-0.20s | 0.12-0.14s | 0.30-0.32s | 0.64-0.66s | 0.56-0.58s,3-3 | 3-3 | 1-1 | 1-1 | 2-2
07,aligned,2,Positive,0.6656924486160278,0.5790740251541138,text,0.8670601798896018,0.0011823517020654914,0.13175746840833263,"[SEP] | along | , | the | of",0.64-0.66s | 0.98-1.00s | 0.88-0.90s | 0.60-0.62s | 0.58-0.60s,4-4 | 3-3 | 3-3 | 3-3 | 5-5
08,aligned,2,Positive,0.49237746000289917,0.3120449483394623,text,1.0,0.0,0.0,[CLS] | that | us | [CLS] | that,0.24-0.26s | 0.00-0.02s | 0.04-0.06s | 0.08-0.10s | 0.06-0.08s,1-1 | 0-0 | 0-0 | 0-0 | 0-0
09,aligned,0,Negative,0.860332190990448,-1.2913904190063477,text,1.0,0.0,0.0,##h | ##h | uh | did | did,0.32-0.34s | 0.16-0.18s | 0.14-0.16s | 0.08-0.10s | 0.30-0.32s,1-1 | 1-1 | 2-2 | 0-0 | 2-2
10,aligned,0,Negative,0.8261730670928955,-1.0826927423477173,text,1.0,0.0,0.0,flick | ##s | so | chick | know,0.52-0.54s | 0.20-0.22s | 0.44-0.46s | 0.58-0.60s | 0.46-0.48s,2-2 | 3-3 | 3-3 | 1-1 | 2-2
11,aligned,0,Negative,0.7189950346946716,-0.805457353591919,text,0.9729165337789221,0.019633307322109758,0.007450158898968155,would | i | would | [CLS] | be,0.02-0.04s | 0.12-0.14s | 0.22-0.24s | 0.08-0.10s | 0.10-0.12s,0-0 | 0-0 | 0-1 | 1-1 | 1-1
12,aligned,0,Negative,0.7035394906997681,-0.7311798334121704,text,0.9662729391532595,0.0018583259792274796,0.03186873486751295,and | perhaps | individual | their | own,0.82-0.84s | 0.58-0.60s | 0.48-0.50s | 0.12-0.14s | 0.42-0.44s,3-3 | 4-4 | 2-2 | 2-2 | 1-1
13,aligned,1,Neutral,0.4896985590457916,0.19892744719982147,text,0.6372640472019354,0.3627359527980646,0.0,", | , | that | take | for",0.40-0.42s | 0.18-0.20s | 0.04-0.06s | 0.10-0.12s | 0.46-0.48s,0-0 | 2-2 | 0-1 | 2-2 | 1-1
14,aligned,1,Neutral,0.41216418147087097,-0.06046789884567261,text,0.5135572281141901,0.48644277188580987,0.0,- | co | uniform | and | ##e,0.36-0.38s | 0.12-0.14s | 0.14-0.16s | 0.40-0.42s | 0.58-0.60s,2-2 | 2-2 | 3-3 | 1-1 | 1-1
15,aligned,2,Positive,0.8664484024047852,1.011101245880127,text,0.5382241014799154,0.3117849592268197,0.14999093929326487,their | prior | their | [CLS] | however,0.38-0.40s | 0.02-0.04s | 0.06-0.08s | 0.20-0.22s | 0.16-0.18s,0-0 | 2-2 | 1-1 | 0-0 | 1-1
16,aligned,0,Negative,0.8538612723350525,-1.2826908826828003,text,1.0,0.0,0.0,' | it | ' | it | [CLS],0.20-0.22s | 0.08-0.10s | 0.04-0.06s | 0.06-0.08s | 0.14-0.16s,0-0 | 0-0 | 0-0 | 1-1 | 1-1
