id,video_path,sha256,duration_seconds,fps,frame_count,text_valid_bins,audio_valid_bins,vision_valid_bins,text_backend,audio_backend,vision_backend
-3g5yACwYnA$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7,9.39,30.0,282.0,23.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-3g5yACwYnA$_$3,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d,14.39,30.0,432.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-3g5yACwYnA$_$9,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016,8.82,30.0,265.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-3g5yACwYnA$_$13,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f,5.51,30.0,165.0,32.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-3nNcZdcdvU$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-3nNcZdcdvU\5.mp4,7ea53ad502b77be7d2ee4494dc23a9478c897792203cf887d546e83d584c1728,7.87,30.0,236.0,40.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-571d8cVauQ$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-571d8cVauQ\0.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,5.07,30.0,152.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-571d8cVauQ$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-571d8cVauQ\5.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,15.27,30.0,458.0,41.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-6rXp3zJ3kc$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-6rXp3zJ3kc\8.mp4,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,12.81,30.0,384.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-9y-fZ3swSY$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-9y-fZ3swSY\0.mp4,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,6.83,30.0,205.0,40.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-9y-fZ3swSY$_$4,D:\E_math\DATA\attachment_1_raw_samples\videos\-9y-fZ3swSY\4.mp4,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,2.82,30.0,85.0,28.0,48.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-9y-fZ3swSY$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-9y-fZ3swSY\8.mp4,6140d031e614b62a5d8df73346fef2417c28cee3501310aa95aa40d358b4b256,4.99,30.0,150.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-AUZQgSxyPQ$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-AUZQgSxyPQ\2.mp4,e09034b30bb4f8fb9f9c2568afc20f2a764e327fe6ef4e13f21804eaac51bb7b,22.51,30.0,675.0,44.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
