number,slug,title,status,sources
1,01_p1_cohort,问题一 样本构成与文本长度,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
2,02_p1_coverage,问题一 覆盖率分布与时序覆盖图,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
3,03_p1_typical_timeline,问题一 典型样本的词段与特征对应,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
4,04_p2_label_distribution,问题二 划分组成与真实强度分布,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
5,05_p2_metric_intervals,问题二 基础指标与聚类自助区间,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
6,06_p2_confusion,问题二 行归一化混淆矩阵,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
7,07_p2_class_metrics,问题二 逐类精确率 召回率与F1,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
8,08_p2_regression,问题二 回归预测与强度收缩,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
9,09_p2_residuals,问题二 残差分布与类别方向性偏差,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
10,10_p2_intensity_strata,问题二 不同情感强度的分类与回归表现,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
11,11_p2_calibration,问题二 概率校准与高置信错误,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
12,12_p2_selective_prediction,问题二 置信筛选的覆盖率与错误率权衡,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
13,13_p2_roc_pr,问题二 单类对其余类别的排序能力,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
14,14_p2_historical_models,问题二 历史实验的多指标对比,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
15,15_p2_paired_comparison,问题二 固定预测的配对差异区间,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
16,16_p2_training_dynamics,问题二 已记录复现训练过程,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
17,17_p2_joint_outputs,问题二 分类与回归输出的一致性,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
18,18_attachment3_aligned,附件三 aligned 全量预测,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
19,19_attachment3_format_comparison,附件三 两种既有输出的描述性比较,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
20,20_p2_error_overlap,问题二 不同实验的错误重叠与误差累积分布,unchanged_moved,上次15个源文件全部SHA-256一致；详见source_comparison.json
21,21_experiment_coverage,新增鲁棒性实验的覆盖范围,new,condition_metrics.csv，1044行；3模型×3种子×2划分×58条件。
22,22_complete_seed_stability,完整输入下的多种子性能与稳定性,new,完整输入，3个种子；点为单次训练，误差线为种子样本标准差。
23,23_rate_valid_macro_f1,验证集局部缺失率对Macro-F1的影响,new,rate组，7种模态组合×4个非零缺失率×3模型×3种子；零点取完整输入。
24,24_rate_test_macro_f1,测试集局部缺失率对Macro-F1的影响,new,rate组，7种模态组合×4个非零缺失率×3模型×3种子；零点取完整输入。
25,25_rate_valid_mae,验证集局部缺失率对MAE的影响,new,rate组，7种模态组合×4个非零缺失率×3模型×3种子；零点取完整输入。
26,26_rate_test_mae,测试集局部缺失率对MAE的影响,new,rate组，7种模态组合×4个非零缺失率×3模型×3种子；零点取完整输入。
27,27_missing_position,缺失位置对分类性能的影响,new,请求缺失率固定0.3；仅单模态；分别按位置或连续块时长分组；3种子。
28,28_missing_duration,缺失连续块时长对分类性能的影响,new,请求缺失率固定0.3；仅单模态；分别按位置或连续块时长分组；3种子。
29,29_missing_rate_denominators,请求缺失率与实际缺失率的分母差异,new,测试集baseline，种子均值；读取effective_missing_rate及各模态对应字段。
30,30_whole_modality_ablation,整模态消融与极端信息丢失,new,ablation组，8种保留/删除组合；行标签表示被删除的模态，None表示完整输入。
