id,raw_word_count,full_bert_tokens,stored_bert_tokens,token_limit,omitted_bert_tokens,truncated,raw_text
-3g5yACwYnA$_$2,14,19,19,50,0,False,Key Polymer brings a technical aspect to our operation that we don't have internally.
-3g5yACwYnA$_$3,29,42,42,50,0,False,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things."
-3g5yACwYnA$_$9,23,30,30,50,0,False,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products."
-3g5yACwYnA$_$13,15,20,20,50,0,False,They've been able to find solutions or at least bring some answers to the table.
-3nNcZdcdvU$_$5,18,24,24,50,0,False,Noncompliance can result in legal liability to you and to the school district in which you are employed.
-571d8cVauQ$_$0,12,18,18,50,0,False,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village."
-571d8cVauQ$_$5,43,54,50,50,4,True,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot."
-6rXp3zJ3kc$_$8,34,40,40,50,0,False,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.
-9y-fZ3swSY$_$0,23,30,30,50,0,False,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face"
-9y-fZ3swSY$_$4,10,13,13,50,0,False,I’ve seen this in US or in the US
-9y-fZ3swSY$_$8,13,16,16,50,0,False,That’s a more decent and more polite way to call a lady
-AUZQgSxyPQ$_$2,41,58,50,50,8,True,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells."
-HeZS2-Prhc$_$2,16,19,19,50,0,False,The August jobs report is out and it was seen overall as solid but not great.
-HwX2H8Z4hY$_$2,7,14,14,50,0,False,"” [President Ronald Reagan:] ""Look at the record"
-HwX2H8Z4hY$_$5,9,12,12,50,0,False,""" President Ronald Reagan blamed the professional bureaucracy of education"
-HwX2H8Z4hY$_$6,7,11,11,50,0,False,"And in part, Al Shanker did too"
-HwX2H8Z4hY$_$9,22,26,26,50,0,False,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing
-I_e4mIh0yE$_$1,18,23,23,50,0,False,In the United States we don't punish failure to the degree to which failure is punished in Europe.
-I_e4mIh0yE$_$3,22,32,32,50,0,False,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice."
-MeTTeMJBNc$_$0,21,28,28,50,0,False,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift."
-MeTTeMJBNc$_$7,31,35,35,50,0,False,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame."
-MeTTeMJBNc$_$13,14,18,18,50,0,False,"It just needs to be a simple statement, and then you present the gift."
-NFrJFQijFE$_$1,16,18,18,50,0,False,Structural mounts inside have to be properly stress analyzed so we make sure all that happens
-NFrJFQijFE$_$2,18,20,20,50,0,False,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here
-RfYyzHpjk4$_$2,25,31,31,50,0,False,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do."
-RfYyzHpjk4$_$8,17,23,23,50,0,False,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time."
-RfYyzHpjk4$_$11,17,21,21,50,0,False,"So get your friends lined up, get your business colleagues lined up and have a good time."
-THoVjtIkeU$_$2,10,13,13,50,0,False,I think social justice is extremely important for young people.
-THoVjtIkeU$_$6,30,34,34,50,0,False,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth."
-THoVjtIkeU$_$12,39,44,44,50,0,False,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves."
-UUCSKoHeMA$_$0,18,25,25,50,0,False,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly."
